"Date","Price","Open","High","Low","Vol.","Change %"
"15/04/2025","3,248.20","3,314.40","3,314.40","3,238.60","3.51M","0.52%"
"11/04/2025","3,231.50","3,289.55","3,298.95","3,206.00","7.11M","-0.47%"
"09/04/2025","3,246.60","3,260.55","3,270.00","3,212.05","2.99M","-1.41%"
"08/04/2025","3,292.95","3,302.05","3,349.00","3,255.30","5.56M","0.58%"
"07/04/2025","3,274.05","3,100.00","3,291.40","3,056.05","6.62M","-0.77%"
"04/04/2025","3,299.40","3,362.60","3,399.65","3,295.50","5.32M","-3.05%"
"03/04/2025","3,403.15","3,491.00","3,502.00","3,396.15","4.54M","-3.97%"
"02/04/2025","3,543.95","3,544.00","3,564.10","3,530.05","1.76M","-0.19%"
"01/04/2025","3,550.80","3,572.70","3,584.00","3,525.00","2.62M","-1.53%"
"28/03/2025","3,606.15","3,651.00","3,660.95","3,591.90","2.05M","-1.23%"
"27/03/2025","3,651.20","3,614.85","3,663.00","3,610.50","2.53M","0.42%"
"26/03/2025","3,635.80","3,647.75","3,680.50","3,625.85","1.73M","-0.60%"
"25/03/2025","3,657.75","3,645.00","3,710.00","3,638.00","3.14M","0.79%"
"24/03/2025","3,628.95","3,600.00","3,649.75","3,566.60","1.83M","1.42%"
"21/03/2025","3,578.10","3,475.00","3,616.25","3,465.00","4.16M","0.42%"
"20/03/2025","3,563.15","3,512.00","3,578.95","3,512.00","2.85M","1.89%"
"19/03/2025","3,497.10","3,547.00","3,547.00","3,462.75","3.05M","-1.56%"
"18/03/2025","3,552.45","3,502.35","3,556.95","3,478.45","3.07M","1.57%"
"17/03/2025","3,497.70","3,489.00","3,530.45","3,477.35","2.69M","-0.38%"
"13/03/2025","3,511.05","3,502.30","3,524.30","3,484.10","1.69M","0.14%"
"12/03/2025","3,506.20","3,565.00","3,569.25","3,486.85","3.17M","-1.93%"
"11/03/2025","3,575.30","3,558.00","3,588.75","3,537.65","2.00M","-0.40%"
"10/03/2025","3,589.65","3,606.50","3,622.10","3,582.60","1.00M","-0.60%"
"07/03/2025","3,611.20","3,600.00","3,625.00","3,574.40","2.05M","0.27%"
"06/03/2025","3,601.60","3,557.00","3,609.45","3,536.10","2.79M","1.54%"
